location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
houston,12000,4000,45000,879401408.3203691,9166000000,3682031143.1961207,85.39123638985919,2447102.41079455,13279022.809239628,2210291.369414892
houston,30000,4000,45000,256444023.5435818,15448000000,4052585020.065317,95.67590682478821,2612604.727681265,42567156.76284878,654230.9863294662
houston,30000,32000,45000,9654899.646661682,26984000000,4758800329.132,99.84273057118133,2487671.944821057,79093622.3133628,23794.707784128477
houston,21000,40000,45000,9921649.567776741,27139000000,4778174043.193813,99.83746403493706,2826224.392987537,74502739.570353,24591.529467202065
houston,21000,12000,45000,48863976.51413837,15603000000,4071960965.5746365,99.17264287581008,3037892.008974566,37429076.81595628,125178.30802269217
houston,0,24000,45000,254803152.93857148,13218000000,3935332258.535316,95.47442090039348,8461010.47764447,17204338.357517343,684715.605810825
houston,0,4000,45000,3783682925.6263027,4978000000,3430891950.8992043,34.79553612822188,1211139.5318553685,53110.83251135495,9865370.375565078
houston,0,40000,45000,120224157.60098666,19810000000,4338881966.777232,97.92047218563367,8494551.925854413,38073838.35066392,314630.4850440265
houston,0,32000,45000,166769519.09880328,16514000000,4137107259.9658875,97.03978765202288,8499976.09591175,27588467.216304626,447877.17694517184
houston,21000,16000,45000,31439881.637376245,17251000000,4172848893.0913506,99.47363858697756,2987071.0504698167,42693122.058589675,79637.95701293634
houston,21000,36000,45000,10057069.15501994,25491000000,4677286740.986349,99.83542293242525,2845141.506877388,69193577.97686374,24900.346242277585
houston,12000,0,45000,1693578762.0878758,7518000000,3581139192.296916,71.3759200671604,2429484.603058498,10091912.734627232,4330794.75590115
houston,30000,0,45000,666450792.7219374,13800000000,3951693069.1661124,88.76514884337362,3119283.6217275783,38287254.85323355,1699821.7789570251
houston,9000,40000,45000,17944990.81017682,22951000000,4527315630.518488,99.68555194644337,4028789.199570936,53596911.51455029,47575.677001377444
houston,24000,0,45000,867474135.0544784,11706000000,3827575357.332135,85.44158002529183,3023394.6306482363,28448530.66306802,2202674.427566063
houston,15000,40000,45000,10816251.32704073,25045000000,4652731328.892442,99.82181908034443,3251178.2394575877,64039972.21769324,26958.595499192874
houston,15000,28000,45000,16941623.060390536,20101000000,4350069095.260016,99.69629799634181,3313215.7899697046,48127992.44135609,45949.810365453915
houston,27000,40000,45000,9506158.093096228,29233000000,4900135367.623441,99.84471972499132,2556288.1379532604,84674214.51953465,23493.75079584341
houston,12000,40000,45000,12512540.08312168,23998000000,4590021159.074148,99.79056475455967,3569103.667660903,58809637.63574373,31687.34383015878
houston,27000,32000,45000,9790611.360966533,25937000000,4698360660.812096,99.8404423593485,2593909.627825776,74053768.73652332,24140.911953109844
houston,12000,36000,45000,14300259.963517912,22350000000,4489133856.866685,99.75419131119881,3588133.2106203847,53508321.35003032,37190.60954667868
houston,9000,24000,45000,47968351.838687636,16359000000,4123765922.2765713,99.17380646755731,4105263.9095683126,32449529.532215424,125002.25775142679
houston,27000,28000,45000,12460704.285760943,24289000000,4597473133.991016,99.78398224916162,2610380.8631322472,68751128.55407956,32683.270334187848
houston,27000,0,45000,756398667.3013258,12753000000,3891253400.8462086,87.26465158431961,3075071.8412264264,33478438.201692175,1926845.518270294
houston,12000,32000,45000,17675196.438584078,20702000000,4388246452.262804,99.6824487561106,3606556.7704723715,48213209.801173754,48045.186604873576
houston,15000,0,45000,1376035561.5835595,8565000000,3643849362.1152096,76.85186439982662,2711890.539827563,14472505.441527655,3502289.8378335573
houston,27000,36000,45000,9632245.062726175,27585000000,4799248065.4159775,99.84280344925453,2573503.464692018,79363522.0731735,23783.68140431218
houston,15000,32000,45000,12674759.783174036,21749000000,4450956622.081097,99.77876522272705,3293572.3548524473,53424976.235448495,33472.60123241468
houston,15000,36000,45000,11300898.637566347,23397000000,4551844026.6849785,99.81265423535649,3272111.4532987555,58730820.795129254,28345.227408603834
houston,12000,8000,45000,328562311.1490465,10814000000,3782919873.7935314,94.49495149748914,3350888.4365333393,17178612.91218797,832908.3499485027
houston,21000,8000,45000,143712673.524343,13955000000,3971072757.9131956,97.61512930866243,2964582.0168619016,32364587.644250844,360828.55790580786
houston,30000,8000,45000,75513191.1626,17096000000,4153473750.6627274,98.73831148490711,2706679.7515178598,47402776.039978415,190892.2144420144
