location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
berkeley,21000,36000,45000,23079888.313311536,25491000000,4570714404.058318,99.42799978448843,6596847.223301302,54983585.040046275,86543.06232808401
berkeley,24000,28000,0,1335448977.9023523,19912000000,1023657963.995106,57.58772375819861,0.0,50840176.051932335,6416935.110745508
berkeley,0,40000,0,1754053045.6319404,16480000000,1198239050.2324524,44.57463349563391,0.0,56321115.56272846,8385802.693543399
berkeley,27000,12000,0,1414090610.3118896,14367000000,567440057.1305108,55.447524207416386,0.0,27860993.831414863,6740745.16902011
berkeley,3000,4000,45000,1662461668.6388023,6025000000,3473277673.5185466,49.80339523765672,1993844.1179703681,694399.0114146761,7594696.255001446
berkeley,24000,36000,0,1313099938.791783,23208000000,1263304553.9144967,58.25875368397702,0.0,63351628.30998256,6315408.951985737
berkeley,12000,32000,45000,39846080.98347958,20702000000,4381498544.998346,99.03126359316865,7020064.4114247905,42938708.503700465,146568.8525325321
berkeley,6000,32000,45000,52372746.417677045,18608000000,4335240107.132545,98.73219747392959,7430023.587221141,39115547.819738895,191817.25820730318
berkeley,6000,4000,0,1907267647.565648,3742000000,166474497.6550376,40.64138088180488,0.0,4044974.0976210963,8980899.892600005
berkeley,12000,36000,30000,134033874.98605227,21240000000,3391321788.956732,96.96922972561485,6637880.247225668,49574639.31327521,458552.5208651196
berkeley,3000,28000,45000,82379248.83550966,15913000000,4192219937.0350494,98.03443363243571,7800604.528810868,30975799.760832235,297388.23176136287
berkeley,6000,8000,0,1727552543.384452,5390000000,286298848.28653437,45.62969945733468,0.0,9596791.24052874,8226172.2654288765
berkeley,18000,40000,30000,112696757.3690143,24982000000,3557140447.824719,97.47753730193797,6366781.655250458,59647173.480270356,381646.0913452871
berkeley,6000,28000,37500,92051667.21456067,16405000000,3660416761.1715403,97.83069304305128,7356864.255701206,32948751.090369727,328213.9798077831
berkeley,12000,12000,0,1550614612.2574294,9132000000,452381200.3426659,50.98252580826759,0.0,18948305.571991086,7416294.975250069
berkeley,18000,40000,45000,20661490.85481992,26092000000,4667140447.824718,99.48340023370761,6685048.944429292,59329848.2102925,78161.02959494879
berkeley,12000,16000,0,1508446840.472638,10780000000,572204880.7248629,52.16798310789515,0.0,25075456.55824702,7236936.467706157
berkeley,6000,8000,30000,816635533.3785721,7610000000,2506298848.2865343,79.42430270826338,5324269.550753628,4291026.732767475,3113082.4864637842
berkeley,3000,4000,0,2017872608.2712471,2695000000,143277673.51854676,37.15296469689074,0.0,2639699.3104396937,9508693.783459509
berkeley,24000,32000,0,1323251502.2867906,21560000000,1143481309.9561107,57.951619995073266,0.0,57091610.806778744,6361877.972907486
berkeley,3000,0,0,3070941927.541088,1047000000,23450635.220593333,9.751573359693422,0.0,478816.2746210814,13654496.973848969
berkeley,24000,24000,0,1350068774.1953216,18264000000,903834661.6102676,57.15727864298441,0.0,44598812.36951248,6482061.027527699
berkeley,27000,16000,0,1376676113.372729,16015000000,687263737.5127077,56.48351793750579,0.0,34010758.50672817,6584000.3505335525
berkeley,21000,40000,0,1323541423.5030694,23809000000,1360537562.5569239,57.89124507092954,0.0,67831201.53496157,6371012.638737202
berkeley,27000,24000,0,1331609402.424236,19311000000,926910753.4403474,57.769171117699344,0.0,46429241.30064579,6389482.30615435
berkeley,24000,16000,0,1395892383.585885,14968000000,664187645.6826279,55.846502298074356,0.0,32184130.685368918,6680380.181680949
berkeley,27000,40000,0,1286685750.9989123,25903000000,1406203804.243182,59.11231091149971,0.0,71451975.63119592,6186266.594450051
berkeley,30000,8000,0,1456947234.2599905,13766000000,470461524.9876063,54.38854871090064,0.0,23618475.806043535,6900967.105854368
berkeley,0,24000,0,1820161524.920054,9888000000,718945999.4296179,42.56930506502906,0.0,31398569.712731034,8689206.885800397
berkeley,30000,36000,0,1280162015.8732128,25302000000,1309226027.792003,59.35508829768281,0.0,67012543.46575632,6149534.61796731
berkeley,0,20000,0,1847167800.6644235,8240000000,599122539.3192382,41.767424703652104,0.0,25213395.511393897,8810530.58500958
berkeley,27000,36000,0,1295322690.3183205,24255000000,1286380645.7445765,58.847945646750446,0.0,65185491.80594043,6226264.795436943
berkeley,0,8000,45000,1110722214.7040048,6626000000,3569651388.92945,71.3778208161195,5496669.394891567,1661510.523652862,4330507.174478666
berkeley,0,0,0,3407470683.660494,0,0.0,0.0,0.0,0.0,15129900.300943999
berkeley,21000,32000,0,1342852200.0045137,20513000000,1120891160.0999327,57.30158822184901,0.0,55307447.47797719,6460227.132120774
berkeley,0,12000,15000,1220056144.1380994,6054000000,1469475303.1197813,68.69075826559164,4661473.8623858625,8369742.8623956265,4737057.059397534
berkeley,21000,20000,0,1389365390.2502515,15569000000,761421051.6437097,55.93133159923332,0.0,36595286.54641321,6667545.592989611
berkeley,0,32000,22500,619545650.1115611,14849000000,2623592647.775461,85.72993999752764,6615589.847410524,37257096.5136418,2159045.851258955
berkeley,0,16000,37500,324884656.8169563,9367000000,3254298983.501978,92.28078055982718,8137849.057082303,10980297.094551433,1167910.2053092346
berkeley,18000,28000,0,1380041798.7568533,17818000000,977670699.406723,56.11964643209421,0.0,47230022.638680756,6639053.74652587
berkeley,3000,12000,30000,471438515.571189,8211000000,2602925938.3403745,88.67480136424484,6897500.376188117,7204928.032609616,1713491.2624736242
berkeley,12000,0,0,2691223227.307162,4188000000,92905897.22288474,21.45302378775935,0.0,4496336.991281267,11884079.190318208
berkeley,15000,24000,0,1423406649.9136624,15123000000,834970101.3878304,54.749954611277005,0.0,39224324.74356071,6846286.753445695
berkeley,3000,16000,15000,989965662.6383946,8749000000,1612749618.7225714,75.05408980465683,4531453.349016736,15662054.362897474,3774291.3417184483
berkeley,15000,8000,0,1579776124.4195526,8531000000,355675490.8876627,50.350154802358674,0.0,14663977.936503395,7511972.077976165
berkeley,6000,40000,30000,149403059.62996617,20794000000,3464886509.5895367,96.65200217960253,6988113.507204618,52063287.239232495,506548.73230391444
berkeley,15000,32000,0,1394783883.366204,18419000000,1074616749.7336736,55.60559688135525,0.0,51707848.41305162,6716828.9310501255
berkeley,9000,36000,0,1457082359.8608332,17973000000,1148203855.8485763,53.588462333170405,0.0,54466513.89629653,7022019.377126388
berkeley,18000,20000,0,1414846388.7057645,14522000000,738023936.9115047,55.09636996041913,0.0,34771855.84889987,6793874.456493325
berkeley,9000,16000,0,1552082401.7882175,9733000000,549086947.6167074,50.77604836771761,0.0,23359560.47101048,7447534.806149222
berkeley,9000,0,0,2784507882.488182,3141000000,69787964.1147293,18.584000010515002,0.0,3003923.0027091024,12318159.627425658
berkeley,15000,40000,0,1374398453.8030348,21715000000,1314263152.190665,56.23192821046972,0.0,64226053.65777094,6622065.625401528
berkeley,0,8000,0,2030663026.7898977,3296000000,239651388.92945018,36.47807695510156,0.0,7094134.321278352,9610803.625935504
berkeley,0,32000,0,1781607118.5859637,13184000000,958592647.7754611,43.723064190947845,0.0,43836988.59915293,8514644.280335842
berkeley,21000,24000,0,1370173535.0103865,17217000000,881244511.7540894,56.49020270268017,0.0,42817227.806197256,6582988.952227317
berkeley,0,16000,45000,281320130.58380365,9922000000,3809298983.501978,93.28561518162279,8296815.22670686,10821991.352924632,1015879.7288421907
berkeley,30000,40000,0,1271672304.4391298,26950000000,1429049186.2906084,59.61435357538982,0.0,73279798.91396667,6110308.039935275
berkeley,21000,28000,0,1355324730.5764797,18865000000,1001067814.1389278,56.92857775798038,0.0,49057391.69658815,6516663.243416186
berkeley,0,0,45000,3393427148.2385807,3330000000,3330000000.0,0.28570136870963436,44999.992,0.0,15086673.968699798
berkeley,0,12000,0,1939666151.2212288,4944000000,359475303.1197812,39.08526594405354,0.0,13006191.026083833,9216338.531249879
berkeley,27000,32000,30000,105621264.83108544,24827000000,3386557401.7861905,97.62159769790844,6164847.561365159,52772756.71796981,359849.8970618084
berkeley,30000,32000,0,1289991125.928951,23654000000,1189402783.8336172,59.058569587136446,0.0,60750919.926910065,6194397.603246621
berkeley,0,20000,37500,270179244.24534214,11015000000,3374122539.319238,93.72373910617928,8188422.396585134,17065647.617617343,949592.0158622112
berkeley,0,28000,15000,1029304727.3298489,12646000000,1948769301.8144565,74.29815361063991,4897880.951750473,32737991.66029356,3888663.734211956
berkeley,0,8000,37500,1121489462.428788,6071000000,3014651388.92945,71.09298452985625,5451669.391050111,1698901.6478356603,4373602.620611207
berkeley,30000,12000,0,1397055972.2566977,15414000000,590285439.1779373,56.01643968921417,0.0,29678699.32350775,6654668.823827471
berkeley,30000,0,0,2357881780.402043,10470000000,230810136.0581561,31.742473321016917,0.0,14431573.438322727,10327295.73442039
berkeley,0,24000,7500,1421169197.5155482,10443000000,1273945999.429618,59.801154675501714,2713088.4112485615,28699275.37208584,6082045.219727279
berkeley,9000,0,22500,2574739298.869151,4806000000,1734787964.1147294,24.554855596050896,942217.3477506131,2067557.3875389423,11414775.13022073
berkeley,9000,16000,45000,99854119.12750845,13063000000,3879086947.6167073,97.51147027635345,7369246.163494152,16005432.571552267,376512.0661470805
berkeley,18000,0,0,2545415100.9779243,6282000000,138901397.59226662,25.94101924883899,0.0,7650266.116624186,11205049.951545967
berkeley,15000,36000,0,1383793688.072473,20067000000,1194439993.6920595,55.94166935195559,0.0,57963487.50743643,6665981.501309373
berkeley,9000,32000,0,1468863626.338378,16325000000,1028380611.8901904,53.22632134309171,0.0,48214818.94291869,7076810.947874147
